onet_soc_code,ai_exposure,ai_sim_raw,automation_sim_raw,n_rows_used,soc_2018,title,text_len
53-2012.00,0.2037682980298996,0.32051390409469604,0.23718413710594177,33,53-2012,Commercial Pilots,
17-2041.00,0.2036411315202713,0.35037487745285034,0.42496806383132935,59,17-2041,Chemical Engineers,
11-9121.02,0.20363068580627441,0.3637135922908783,0.23761944472789764,36,11-9121,Water Resource Specialists,
43-3051.00,0.20356352627277374,0.38494551181793213,0.258199542760849,67,43-3051,Payroll and Timekeeping Clerks,
15-1299.07,0.20333898067474365,0.35550549626350403,0.23323793709278107,51,15-1299,Blockchain Engineers,
25-4022.00,0.20316331088542938,0.3330777585506439,0.2418738603591919,83,25-4022,Librarians and Media Collections Specialists,
19-1023.00,0.2030927687883377,0.3444535732269287,0.2105426788330078,28,19-1023,Zoologists and Wildlife Biologists,
21-1011.00,0.20293846726417542,0.3270055055618286,0.21870863437652588,31,21-1011,Substance Abuse and Behavioral Disorder Counselors,
43-6011.00,0.202579066157341,0.3808523118495941,0.2784801125526428,96,43-6011,Executive Secretaries and Executive Administrative Assistants,
13-1041.07,0.20254549384117126,0.3913992941379547,0.22815223038196564,34,13-1041,Regulatory Affairs Specialists,
27-2012.03,0.2024713009595871,0.3234287202358246,0.17769059538841248,26,27-2012,Media Programming Directors,
43-6012.00,0.20206984877586365,0.34590086340904236,0.2241675853729248,47,43-6012,Legal Secretaries and Administrative Assistants,
17-2141.02,0.20201000571250916,0.350200891494751,0.3777013123035431,88,17-2141,Automotive Engineers,
15-1299.06,0.2019067257642746,0.3737109303474426,0.3115650415420532,65,15-1299,Digital Forensics Analysts,
47-2152.00,0.2015136182308197,0.3641525208950043,0.2974703311920166,45,47-2152,"Plumbers, Pipefitters, and Steamfitters",
19-3033.00,0.20150163769721985,0.3192477226257324,0.21626229584217072,58,19-3033,Clinical and Counseling Psychologists,
43-4051.00,0.2014354169368744,0.3818674683570862,0.3148099482059479,113,43-4051,Customer Service Representatives,
17-2141.01,0.2012193650007248,0.35733142495155334,0.3028237819671631,30,17-2141,Fuel Cell Engineers,
17-2112.01,0.20104467868804932,0.34057992696762085,0.2785018980503082,64,17-2112,Human Factors Engineers and Ergonomists,
11-9121.00,0.2006833255290985,0.35644301772117615,0.22825928032398224,29,11-9121,Natural Sciences Managers,
17-1022.00,0.20063254237174988,0.3272780776023865,0.27264270186424255,49,17-1022,Surveyors,
19-1011.00,0.19993141293525696,0.3433588445186615,0.21259593963623047,28,19-1011,Animal Scientists,
15-1299.05,0.19958052039146423,0.3638915419578552,0.3000514805316925,91,15-1299,Information Security Engineers,
15-1299.04,0.19958052039146423,0.3459741771221161,0.2770532965660095,68,15-1299,Penetration Testers,
17-2121.00,0.19954334199428558,0.3355412781238556,0.34892162680625916,40,17-2121,Marine Engineers and Naval Architects,
25-1051.00,0.19941622018814087,0.35394519567489624,0.24051828682422638,50,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",
43-4041.00,0.19917026162147522,0.34238654375076294,0.19095619022846222,18,43-4041,"Credit Authorizers, Checkers, and Clerks",
19-4071.00,0.19883692264556885,0.33974552154541016,0.2684268355369568,42,19-4071,Forest and Conservation Technicians,
29-1141.00,0.19869007170200348,0.3285169005393982,0.20850405097007751,43,29-1141,Registered Nurses,
19-4061.00,0.1986396610736847,0.34743794798851013,0.20816144347190857,33,19-4061,Social Science Research Assistants,
13-2081.00,0.1982020139694214,0.36233630776405334,0.2141256332397461,22,13-2081,"Tax Examiners and Collectors, and Revenue Agents",
43-4161.00,0.1979399025440216,0.3533839285373688,0.23746828734874725,41,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",
13-1022.00,0.19765256345272064,0.37252137064933777,0.3440062999725342,56,13-1022,"Wholesale and Retail Buyers, Except Farm Products",
33-3021.00,0.19755098223686218,0.3450717628002167,0.2442685067653656,38,33-3021,Detectives and Criminal Investigators,
15-2099.01,0.1974410116672516,0.3546251952648163,0.23496957123279572,50,15-2099,Bioinformatics Technicians,
25-1126.00,0.19738620519638062,0.36369237303733826,0.2298494279384613,24,25-1126,"Philosophy and Religion Teachers, Postsecondary",
25-1082.00,0.19690828025341034,0.3582366406917572,0.23654451966285706,53,25-1082,"Library Science Teachers, Postsecondary",
11-3012.00,0.1966487020254135,0.3649638295173645,0.3262966275215149,56,11-3012,Administrative Services Managers,
17-2199.05,0.1962231695652008,0.35436463356018066,0.4263666272163391,53,17-2199,Mechatronics Engineers,
31-9099.01,0.1960858404636383,0.3179745078086853,0.17202505469322205,19,31-9099,Speech-Language Pathology Assistants,
47-2022.00,0.1960599273443222,0.3355206549167633,0.21384350955486298,13,47-2022,Stonemasons,
17-2199.09,0.19603180885314941,0.3613716959953308,0.3618606925010681,51,17-2199,Nanosystems Engineers,
19-2011.00,0.19598495960235596,0.3443778157234192,0.21091647446155548,38,19-2011,Astronomers,
19-2041.03,0.1959337443113327,0.3815624713897705,0.26995623111724854,46,19-2041,Industrial Ecologists,
25-4012.00,0.1958799958229065,0.32626181840896606,0.22528496384620667,46,25-4012,Curators,
25-1022.00,0.19587963819503784,0.3563423752784729,0.2257167398929596,27,25-1022,"Mathematical Science Teachers, Postsecondary",
25-1064.00,0.19587242603302002,0.3545902669429779,0.23020119965076447,41,25-1064,"Geography Teachers, Postsecondary",
43-4131.00,0.19525550305843353,0.3111012876033783,0.21420297026634216,21,43-4131,Loan Interviewers and Clerks,
33-1021.00,0.19517090916633606,0.3281295895576477,0.26180198788642883,25,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,
29-1141.02,0.19467078149318695,0.2974550127983093,0.180623859167099,29,29-1141,Advanced Practice Psychiatric Nurses,
29-2034.00,0.1944858580827713,0.32533830404281616,0.21283546090126038,24,29-2034,Radiologic Technologists and Technicians,
13-2023.00,0.19441410899162292,0.34272828698158264,0.24193568527698517,68,13-2023,Appraisers and Assessors of Real Estate,
31-2021.00,0.19415679574012756,0.29999440908432007,0.1973772794008255,33,31-2021,Physical Therapist Assistants,
21-1015.00,0.19396503269672394,0.3185531795024872,0.2023945152759552,31,21-1015,Rehabilitation Counselors,
19-4021.00,0.1938745081424713,0.33177605271339417,0.20233316719532013,34,19-4021,Biological Technicians,
41-3011.00,0.1937825232744217,0.3268760144710541,0.21403582394123077,24,41-3011,Advertising Sales Agents,
